Union_Name,Upazilla_Name,Union_code
DAKKHIN JOYNAGAR,DAULATKHAN,211
HAJIPUR,DAULATKHAN,344
MADANPUR,DAULATKHAN,510
MEDUA,DAULATKHAN,519
SYEDPUR,DAULATKHAN,710
UTTAR JOYNAGAR,DAULATKHAN,777
BADARPUR,LALMOHAN,142
CHAR BHUTA,LALMOHAN,176
DHALI GOURNAGAR,LALMOHAN,210
FARAJGANJ,LALMOHAN,277
KALMA,LALMOHAN,443
LALMOHAN,LALMOHAN,477
LORD HARDINGE,LALMOHAN,486
PASHCHIM CHAR UMED,LALMOHAN,611
RAMAGANJ,LALMOHAN,678
WARD NO .07,LALMOHAN,007
DAKKHIN SAKUCHIA,MONPURA,208
HAJIRHAT,MONPURA,341
MANPURA,MONPURA,507
UTTAR SAKUCHIA,MONPURA,772
BARA MALANGCHARA,TAZUMUDDIN,142
CHANCHRA,TAZUMUDDIN,176
CHANDPUR,TAZUMUDDIN,185
SHAMBHUPUR,TAZUMUDDIN,706
SONAPUR,TAZUMUDDIN,715
BASANDA,JHALOKATHI SADAR,142
BINAYKATHI,JHALOKATHI SADAR,151
GABHA RAMCHANDRAPUR,JHALOKATHI SADAR,309
GABKHAN DHANSIRI,JHALOKATHI SADAR,318
MATHBARI,RAJAPUR,318
KEORA,JHALOKATHI SADAR,443
KIRTIPASHA,JHALOKATHI SADAR,452
NABAGRAM,JHALOKATHI SADAR,544
NATHULLABAD,JHALOKATHI SADAR,553
PONABALIA,JHALOKATHI SADAR,612
SHEIKHERHAT,JHALOKATHI SADAR,712
AMUA,KANTHALIA,109
AWRABUNIA,KANTHALIA,118
CHENCHRI RAMPUR,KANTHALIA,177
KANTHALIA,KANTHALIA,442
PATIKHALGHATA,KANTHALIA,608
SHOULAJALIA,KANTHALIA,708
BHAIRABPASHA,NALCHHITY,142
DAPDAPIA,NALCHHITY,209
KULKATHI,NALCHHITY,441
KUSHANGAL,NALCHHITY,450
MAGAR,NALCHHITY,509
MOLLARHAT,NALCHHITY,518
NACHANMAHAL,NALCHHITY,544
RANAPASHA,NALCHHITY,677
SIDDHAKATHI,NALCHHITY,711
SUBIDPUR,NALCHHITY,720
BARAIYA,RAJAPUR,142
GALUA,RAJAPUR,308
SATURIA,RAJAPUR,707
SHUKTAGAR,RAJAPUR,716
ADABARIA,BAUPHAL,109
BAGA,BAUPHAL,143
BAUPHAL,BAUPHAL,152
